,slang,formal
2373,jirrrr,anjir
2374,jjk , jijik
2375,jjur,jujur
2376,jk,jika
2377,jk , jika
2378,jkrta,jakarta
2379,jkt,jakarta
2380,Jkt , Jakarta
2381,Jkw , jokowi
2382,jlas,jelas
2383,jlbb,jilbab
2384,jlek,jelek
2385,jln,jalan
2386,jln , jalan
2387,jln2,jalan-jalan
2388,jls,jelas
2389,jls2,jelas-jelas
2390,jmnya,jamnya
2391,jmpaaaa,jumpa
2392,jnagn,jangan
2393,jnda,janda
2394,jng,jangan
2395,jng , jangan
2396,jngan,jangan
2397,jngn,jangan
2398,jngnn,jangan
2399,jnj , janji
2400,jodohny,jodohnya
2401,jodohx,jodohnya
2402,joget2 , joget-joget
2403,jogetin,berjoget
2404,jomblo , tidak punya pacar
2405,jombsss,jomblo
2406,jorokkkk,jorok
2407,jorookknya,joroknya
2408,jrang,jarang
2409,jrnk,jarang
2410,jt,juta
2411,jth , jatuh
2412,jual2 , jual-jual
2413,jubir , juru bicara
2414,judulnyaa,judulnya
2415,jugaa,juga
2416,jugaaa,juga
2417,jugaakk,juga
2418,jugak,juga
2419,jungkiir,jungkir
2420,jurdil , jujur adil
2421,justeru,justru
2422,jutek , galak
2423,jwab,jawab
2424,jwb,jawab
2425,jwb , jawab
2426,jwban,jawaban
2427,k,kak
2428,k,ke
2429,k',kak
2430,k , ke
2431,ka,kak
2432,ka , kakak
2433,kaa,kak
2434,kaaa,kak
2435,kaaaa,kak
2436,kaaaaa,kak
2437,kaaaaaaaaaakkkkkkkkkkk,kak
2438,kaaaaaann,kan
2439,kaaakk,kak
2440,kaaan,kan
2441,kaak,kak
2442,kaakaaaa,kakak
2443,kaakk,kak
2444,kaan,kan
2445,kaannnn,kan
2446,kaasian,kasihan
2447,kab , kabupaten
2448,kabag , kepala bagian
2449,kabor , kabur
2450,kacauuuu,kacau
2451,kacian,kasihan
2452,kacian , kasihan
2453,kaciiaann,kasihan
2454,kacrut , kacau
2455,kadang2 , kadang kadang
2456,kadit , kepala direktorat
2457,kadiv , kepala divisi
2458,kafeh,kafe
2459,kaga,kagak
2460,kaga , tidak
2461,kagak , tidak
2462,kageeet,kaget
2463,kageet,kaget
2464,kaitannha,kaitannya
2465,kaj,kak
2466,kaka,kakak
2467,kaka , kakak
2468,kakakaaaaaaaaaaaaaa,kakak
2469,kakakgh,kakak
2470,kakakkk,kakak
2471,kakakny,kakaknya
2472,kakakuuu,kakakku
2473,kakanga,kakaknya
2474,kakanya,kakaknya
2475,kakau,kalau
2476,kakk,kak
2477,kakk,kakak
2478,kakkk,kak
2479,kakkkk,kak
2480,kakkkkk,kak
2481,kalahnye,kalahnya
2482,kale,kali
2483,kaleee,kali
2484,kaliaan,kalian
2485,kaliann,kalian
2486,kaliannn,kalian
2487,kaliannnnnm,kalian
2488,kaliannnnnn,kalian
2489,kaliannnnnnn,kalian
2490,kalii,kali
2491,kaliii,kali
2492,kaliiii,kali
2493,kaliiiiiii,kali
2494,kaliiin,kalian
2495,kalik,kali
2496,kalli,kali
2497,kallo,kalo
2498,kalo,kalau
2499,kalo , kalau
2500,kalogak,kalo enggak
2501,kalok,kalo
2502,kaloo,kalo
2503,kaltim , kalimantan timur
2504,kalu,kalau
2505,kalw,kalau
2506,kam,kamu
2507,kamiiii,kami
2508,kamo,kamu
2509,kampret , sialan
2510,kampungn,kampungan
2511,kamtib , keamanan dan ketertiban
2512,kamtibmas , keamanan dan ketertiban masyarakat
2513,kamu2,kamu-kamu
2514,kamuh , kamu
2515,kamunyaa,kamunya
2516,kamuu,kamu
2517,kamuuuu,kamu
2518,kamuwh , kamu
2519,kamyu , kamu
2520,kamyuhhh,kamu
2521,kan , akan
2522,kana,kanan
2523,kanapa,kenapa
2524,kancang,kencang
2525,kangeeeeeeeeeeennnnn,kangen
2526,kangeeeeeeeeennnnnnnn,kangen
2527,kangeeeeeeeenya,kangen
2528,kangeeeeennn,kangen
2529,kangeeeennn,kangen
2530,kangeeeennnnn,kangen
2531,kangeeerrn,kangen
2532,kangeen,kangen
2533,kangeenn,kangen
2534,kangem,kangen
2535,kangenn,kangen
2536,kangennn,kangen
2537,kangennnn,kangen
2538,kangennnnn,kangen
2539,kangennnnnmnnnnnnnnnnnnnnnnn,kangen
2540,kangennnnnn,kangen
2541,kangennnnnnn,kangen
2542,kangennnnnnnnnnnnnnnn,kangen
2543,kanggen,kangen
2544,kanggggg,kang
2545,kann,kan
2546,kannn,kan
2547,kanwil , kantor wilayah
2548,kapaan,kapan
2549,kapan2,kapan-kapan
2550,kapn,kapan
2551,kapolri ,  Kepala Polisi Republik Indonesia
2552,kapt , kapten
2553,kareno,karena
2554,karir.a,karirnya
2555,karmaaa,karma
2556,karna,karena
2557,karna , karena
2558,kartunin,kartun
2559,"karya""",karya-karya
2560,karya2,karya-karya
2561,kasar2,kasar-kasar
2562,kasat , kepala satuan
2563,kasi,kasih
2564,kasiaannn,kasihan
2565,kasian,kasihan
2566,kasiannn,kasihan
2567,kasiatnya,khasiatnya
2568,kasihn,kasihan
2569,kasiian,kasihan
2570,kasubbag , kepala subbagian
2571,kasubbid , kepala subbidang
2572,"kata""",kata-kata
2573,kata2,kata-kata
2574,kata2 , kata-kata
2575,kata2nya,kata-katanya
2576,kata2nyaaa,kata-katanya
2577,katanyaa,katanya
2578,kate,kata
2579,katrok , kampungan
2580,kau,kamu
2581,kau , kamu
2582,kauuuu,kau
2583,kawan2 , kawan-kawan
2584,kawinin,mengawini
2585,kaya,kayak
2586,kayaa,kaya
2587,kaya'a,kayanya
2588,kayahhh,kaya
2589,kayak,seperti
2590,kayakk,kayak
2591,kayanya , kayaknya
2592,kayanye,kayanya
2593,kayaq,kayak
2594,kayax,kayak
2595,kbahagiaan,kebahagiaan
2596,kbar , kabar
2597,kbawa,terbawa
2598,kberkahn,keberkahan
2599,kbetulan,kebetulan
2600,kbiasaan,kebiasaan
2601,kbr , kabar
2602,kcantikan,kecantikan
2603,kcewa,kecewa
2604,kcian , kasihan
2605,kcil,kecil
2606,kcwa,kecewa
2607,kdang,kadang
2608,kdg,kadang
2609,kdg2,kadang-kadang
2610,kdng,kadang
2611,kdng , kadang
2612,kdu , harus
2613,kdua,kedua
2614,ke , kah
2615,keak,kayak
2616,kebagi,terbagi
2617,"kebaikan""y",kebaikannya
2618,kebalas,terbalas
2619,kebangetak,kebangetan
2620,kebanggan,kebanggaan
2621,kebarat2an,kebarat-baratan
2622,kebawa,terbawa
2623,kebayang,terbayang
2624,kebayanyaa,kebayanya
2625,keberpa,keberapa
2626,kebnyak'an,kebanyakan
2627,kebongkar,terbongkar
2628,kebranian , keberanian
2629,kebukaaa,terbuka
2630,kebukti,terbukti
2631,keburu , terlanjur
2632,kebykan,kebanyakan
2633,kec , kecamatan
2634,kecantikanga,kecantikannya
2635,kece2,kece-kece
2636,keceee,kece
2637,keche,kece
2638,keciil,kecil
2639,keciill,kecil
2640,kecik,kecil
2641,"kecil""",kecil-kecil
2642,kecptan,kecepatan
2643,kecr,kece
2644,kedengeran,kedengaran
2645,kedokk,kedok
2646,kedpan,kedepan
2647,keduaa,kedua
2648,kedubes , kedutaan besar
2649,keedaannya,keadaannya
2650,keee,ke
2651,keeeeeren,keren
2652,keeeerrrreeeennnnnnnnn,keren
2653,keinget,teringat
2654,kejadianny,kejadiannya
2655,kejahatn,kejahatan
2656,kejar2 , kejar-kejar
2657,kejawab,terjawab
2658,kejurnas , kejuaraan nasional
2659,kejuu,keju
2660,kek,kayak
2661,kek , kaya
2662,kek , seperti
2663,kekeuh , keras kepala
2664,kekgini,kayak begini
2665,kekk,kayak
2666,keknya,kayaknya
2667,keknya , kayaknya
2668,keknya , kayanya
2669,kekuranganny,kekurangannya
2670,kel,keluarga
2671,kel , kelompok
2672,kel , kelurahan
2673,kelahuran,kelahiran
2674,kelaluan,kelakuan
2675,kelas'a,kelasnya
2676,keles,kali
2677,keliatan,kelihatan
2678,keliatan , kelihatan
2679,keliatannya,kelihatannya
2680,kellen,kalian
2681,keluarin,mengeluarkan
2682,keluarin,keluarkan
2683,kelus,kali
2684,kemakan,termakan
2685,kemaren,kemarin
2686,kemaren , kemarin
2687,kemariin,kemarin
2688,kemarn,kemarin
2689,kembaq,kembar
2690,kemenag , kementrian agama
2691,kemenkominfo , kementrian komunikasi dan informatika
2692,kemn,kemana
2693,kemrin , kemarin
2694,kemuh,kamu
2695,kenaliiin,kenalkan
2696,kenalin,mengenalkan
2697,kenalin,kenalkan
2698,kenalin,memperkenalkan
2699,kenapaa,kenapa
2700,kenape,kenapa
2701,kenceng,kencang
2702,kencng,kencang
2703,kencqng,kencang
2704,keneh , masih
2705,kentot , senggama
2706,kenyataan2,kenyataan-kenyataan
2707,kepad,kepada
2708,kepd,kepada
2709,kepda,kepada
2710,kepeleset,kepleset
2711,kepelesett,terpeleset
2712,kepengen , mau
2713,kepikir,terpikir
2714,kepikiran , terpikirkan
2715,kepingin,pengin
2716,kepingin , mau
2717,kepo , mau tahu urusan orang
2718,kepoh,kepo
2719,kepoin,mengepoi
2720,kepoin,kepoi
2721,kepoin,kepo
2722,kepppoin,kepoi
2723,kepsek , kepala sekolah
2724,keputihn,keputihan
2725,keq,kek
2726,keq,kayak
2727,kerasin,kerasi
2728,kerass,keras
2729,kere , tidak punya uang
2730,kereeeeen,keren
2731,kereeeeennn,keren
2732,kereeeeennnn,keren
2733,kereeeen,keren
2734,kereeen,keren
2735,kereeennnn,keren
2736,kereen,keren
2737,kereenn,keren
2738,kereennn,keren
2739,"keren""",keren-keren
2740,keren2,keren-keren
2741,kerenn,keren
2742,kerennn,keren
2743,kerennnn,keren
2744,kerennnnn,keren
2745,kerjaan,pekerjaan
2746,kerreeen,keren
2747,kerrennn,keren
2748,kerrrrennnn,keren
2749,kesalahanny,kesalahannya
2750,kesampean,kesampaian
2751,kesbang , kesatuan bangsa
2752,kesian , kasihan
2753,kesihatan , kesehatan
2754,kesinii,kesini
2755,kesiniii,kesini
2756,kesra , kesejahteraan rakyat
2757,ketaatanny,ketaatannya
2758,ketara,tertara
2759,ketarik,tertarik
2760,ketauan,ketahuan
2761,ketauan , ketahuan
2762,ketawaa,ketawa
2763,ketawain,mentertawakan
2764,ketawakkkk,ketawa
2765,ketemuuu,ketemu
2766,ketipu,tertipu
2767,ketrima , diterima
2768,ketuker,tertukar
2769,ketum , ketua umum
2770,keukeuh , keras kepala
2771,kgak,kagak
2772,kgeeeen,kangen
2773,kgiatan , kegiatan
2774,kgn,kangen
2775,kh,kah
2776,kha,kah
2777,khadiran,kehadiran
2778,khadirannya,kehadirannya
2779,khan,kan
2780,khan , kan
2781,kharismanya,karismanya
2782,khdpn,kehidupan
2783,khidupan,kehidupan
2784,kibul , bohong
2785,kibus , kaki busuk
2786,kimpoi , kawin
2787,kira2,kira-kira
2788,kirain,mengira
2789,kiriii,kiri
2790,kirimin,mengirimi
2791,kitaa,kita
2792,kitaaa,kita
2793,kite,kita
2794,kiya,kita
2795,kk,kakak
2796,kk , kakak
2797,kka,kakak
2798,kkak,kakak
2799,kki,kaki
2800,kklau,kalau
2801,kl,kalau
2802,kl,kalo
2803,kl , kalau
2804,klahiran,kelahiran
2805,klakuan,kelakuan
2806,klas,kelas
2807,klau,kalau
2808,klauu,kalau
2809,klen,kalian
2810,klepek2,klepek-klepek
2811,klg,keluarga
2812,klh,kalah
2813,klhran,kelahiran
2814,kli,kali
2815,klian,kalian
2816,klian , kalian
2817,klianz , kalian
2818,kliatan,kelihatan
2819,kliatanya,kelihatannya
2820,klihatan,kelihatan
2821,klk,kelak
2822,klkuan,kelakuan
2823,kll,kalo
2824,klmbutan,kelembutan
2825,klmpk , kelompok
2826,kln,kalian
2827,klo,kalo
2828,klo,kalau
2829,klo , kalau
2830,klok,kalo
2831,kloop,klop
2832,kloter , kelompok terbang
2833,klow,kalau
2834,klrga,keluarga
2835,kls , kelas
2836,klu,kalau
2837,kluar,keluar
2838,kluarga,keluarga
2839,kluarga , keluarga
2840,klw,kalau
2841,klw , kalau
2842,klwrga , keluarga
2843,km,kamu
2844,km,kami
2845,km , kamu
2846,kmaksiatan , kemaksiatan
2847,kmana,kemana
2848,kmana2,kemana-mana
2849,kmar,kamar
2850,kmaren,kemarin
2851,kmari , kemari
2852,kmariiin,kemarin
2853,kmarin,kemarin
2854,kmauan,kemauan
2855,kmbali,kembali
2856,kmbang,kembang
2857,kmbl,kembali
2858,kmewahan,kemewahan
2859,kmi,kami
2860,kmn,kemana
2861,kmna , kemana
2862,kmps , kampus
2863,kmpus , kampus
2864,kmren,kemarin
2865,kmrin,kemarin
2866,kmrm , kemeramen
2867,kmrn,kemarin
2868,kmrn , kemarin
2869,kmu,kamu
2870,kn,kan
2871,kn , kan
2872,knal , kenal
2873,knan,kanan
2874,knapa,kenapa
2875,kndung,kandung
2876,kne , terlibat
2877,kngen,kangen
2878,kngenn,kangen
2879,kngn,kangen
2880,knl,kenal
2881,knl , kenal
2882,knlan,kenalan
2883,knp,kenapa
2884,knp , kenapa
2885,knpa,kenapa
2886,knpa , kenapa
2887,knpp,kenapa
2888,knsul,konsultasi
2889,knyataan,kenyataan
2890,ko,kok
2891,koar , teriak
2892,kobul,kabul
2893,kocaaaak,kocak
2894,kocaaaakkk,kocak
2895,kocakkk,kocak
2896,kocakkkkkk,kocak
2897,kocakkkkkkkkkkkkkk,kocak
2898,koclak,kocak
2899,kodya , kota madya
2900,kog,kok
2901,kog , kok
2902,kokkk,kok
2903,kokohh,engkoh
2904,komdis , komisi disiplin
2905,komen2,komen-komen
2906,komen2an,komen-komenan
2907,komenan,komentar
2908,komenannya,komentarnya
2909,koment,komentar
2910,komentar2,komentar-komentar
2911,komentarin,komentari
2912,komentarin,mengomentari
2913,komentnya,komentarnya
2914,komenx,komennya
2915,komntr,komentar
2916,kompi , komputer
2917,komsov , komunis sovyet
2918,komtiong , komunis Tiongkok
2919,komuk,muka
2920,komun , komunitas
2921,komunitas2,komunitas-komunitas
2922,kongkow , kumpul bareng teman-teman
2923,konjen , konsulat jenderal
2924,konpers , konferensi pers
2925,konsekwensi,konsekuensi
2926,konsul,konsultasi
2927,kontak2,kontak-kontak
2928,konten2,konten-konten
2929,kopdar , kopi darat
2930,koplak,kocak
2931,koplakkk,koplak
2932,koq,kok
2933,koq , kok
2934,korek2,korek-korek
2935,korup , korupsi
2936,kostom,kostum
2937,kowe , kamu
2938,kox,kok
2939,kpada,kepada
2940,kpai , komisi perlindungan anak indonesia
2941,kpan,kapan
2942,kpancing,terpancing
2943,kpd,kepada
2944,kpd , kepada
2945,kpid , komisi penyiaran indonesia daerah
2946,kpk , komisi pemberantas koruptor
2947,kpleset,kepleset
2948,kpn,kapan
2949,kpn , kapan
2950,kpn2,kapan-kapan
2951,kpnpun,kapanpun
2952,kptsan , keputusan
2953,kpuasan,kepuasan
2954,kq,kok
2955,kqmu,kamu
2956,kr,kira
2957,kra,kira
2958,kraya,karya
2959,kreatip,kreatif
2960,kreative,kreatif
2961,kreean,keren
2962,kreeenn,keren
2963,kreen,keren
2964,kren,keren
2965,krena,karena
2966,krenn,keren
2967,krenz , keren
2968,kri,kiri
2969,krik , garing
2970,krim , kirim
2971,kriput,keriput
2972,krjaan,pekerjaan
2973,krm,kirim
2974,krm , kirim
2975,krmh,ke rumah
2976,krn,karena
2977,krn ,karena
2978,krna,karena
2979,krng,kurang
2980,krpoooo,kepo
2981,krudung,kerudung
2982,krudungan,kerudungan
2983,krus,kurus
2984,krya,karya
2985,ksadaran , kesadaran
2986,ksenangan,kesenangan
2987,ksh,kasih
2988,ksih,kasih
2989,ksini,kesini
2990,ksitu,kesitu
2991,kslahan,kesalahan
2992,kslhn,kesalahan
2993,ksni,kesini
2994,ksukaanmuuu,kesukaanmu
2995,ksyngn,kesayangan
2996,kt,kita
2997,kt , kita
2998,kt2,kata-kata
2999,kta,kata
3000,kta,kita
3001,ktaa,kita
3002,ktaatan,ketaatan
3003,ktanya,katanya
3004,ktauan , ketahuan
3005,ktawa,ketawa
3006,ktemu,ketemu
3007,ktergantungan,ketergantungan
3008,ktg,kita
3009,ktika,ketika
3010,ktipu , tipu
3011,ktk , ketika
3012,ktm,ketemu
3013,ktmu,ketemu
3014,ktmu , ketemu
3015,ktny,katanya
3016,ktny , katanya
3017,ktnya,katanya
3018,ktp , kartu tanda penduduk
3019,ktr , kantor
3020,ktwa,ketawa
3021,kuaaatt,kuat
3022,kuatttt,kuat
3023,kubarikan,kuberikan
3024,kucing'y,kucingnya
3025,kudu , harus
3026,kueren2,keren-keren
3027,kuliyh,kuliah
3028,kuninggg,kuning
3029,kuningggg,kuning
3030,kunjungin,kunjungi
3031,kuper , kurang pergaulan
3032,kuq , kok
3033,kura2,kura-kura
3034,kurangin,kurangi
3035,kureeeen,keren
3036,kurng,kurang
3037,kurng , kurang
3038,kusem,kusam
3039,kususnya,khususnya
3040,kutuu,kutu
3041,kuu,ku
3042,kuy,yuk
3043,kuyy,yuk
3044,kuyyy,yuk
3045,kw,kau
3046,kw , imitasi
3047,kwatir,kawatir
3048,kwn , kawan
3049,kx,kak
3050,ky,kaya
3051,ky , kaya
3052,ky , seperti
3053,kya,kaya
3054,kya,seperti
3055,kyak,kayak
3056,kyaknya,kayaknya
3057,kyanya,kayanya
3058,kyax,kayak
3059,kyk,kayak
3060,kyk , kayak
3061,kyk , seperti
3062,kyk.a,kayaknya
3063,kykny , kayanya
3064,kyknya,kayaknya
3065,kyy,kaya
3066,la,lah
3067,la , lah
3068,laa,lah
3069,laaaah,lah
3070,ladenin,meladeni
3071,laen,lain
3072,laenny,lainnya
3073,lafazd,lafaz
3074,lagihh,lagi
3075,lagii,lagi
3076,lagiii,lagi
3077,lagiiii,lagi
3078,laginy,laginya
3079,lagu2,lagu-lagu
3080,lagu2nya,lagu-lagunya
3081,lagu'y,lagunya
3082,lahh,lah
3083,lahhh,lah
3084,lahhhhhh,lah
3085,lahirr,lahir
3086,lainnn,lain
3087,lainnyaa,lainnya
3088,lairannya,kelahirannya
3089,laka , kecelakaan
3090,"laki""",laki-laki
3091,laki2,laki-laki
3092,laki2 , laki-laki
3093,lakik,laki
3094,"laku""",laku-laku
3095,lakuin,melakukan
3096,lam , salam
3097,lama2,lama-lama
3098,lambreta , lambat
3099,lamp , lampiran
3100,lancr,lancar
3101,langgengggg,langgeng
3102,langgenh,langgeng
3103,langi , langit
3104,lanjutin,lanjutkan
3105,lanjutkaaaaan,lanjutkan
3106,lansia , lanjut usia
3107,lanud , landasan udara
3108,lapakk,lapak
3109,lapas , lembaga pemasyarakatan
3110,larang2 , larang-larang
3111,latgab , latihan gabungan
3112,latian,latihan
3113,lau,kau
3114,lawaaaas,lawas
3115,lawyer2 , lawyer lawyer
3116,lbh,lebih
3117,lbh , lebih
3118,lbih,lebih
3119,lbihh,lebih
3120,lbur , libur
3121,lcu,lucu
3122,le,boleh
3123,lebar2,lebar-lebar
3124,lebay , berlebihan
3125,lebayy,lebay
3126,lebh,lebih
3127,ledekin,ledeki
3128,ledkin,meledeki
3129,leh,boleh
3130,leh , boleh
3131,lekong,laki
3132,lekong , laki-laki
3133,lelet , lambat
3134,lemot , lambat
3135,lemot , lambat berfikir
3136,lemot , lemah otak
3137,lengkapp,lengkap
3138,lengkeeett,lengket
3139,lenje,lenjeh
3140,lepasin,melepas
3141,lesbia , lesbian
3142,less , kurang
3143,lg,lagi
3144,lg , lagi
3145,lggeng,langgeng
3146,lggi,lagi
3147,lgi,lagi
3148,lgi , lagi
3149,lgkah2,langkah-langkah
3150,lgkp , lengkap
3151,lgs,langsung
3152,lgsg,langsung
3153,lgsg , langsung
3154,lgsung,langsung
3155,lgu,lagu
3156,lgunya,lagunya
3157,lh,lah
3158,lh,boleh
3159,lha,lah
3160,lha , lah
3161,lhat,lihat
3162,lhir,lahir
3163,lhirr,lahir
3164,lhoo,loh
3165,lhooo,loh
3166,lht,lihat
3167,lht , lihat
3168,liaat,lihat
3169,liaatt,lihat
3170,liad,lihat
3171,liat,lihat
3172,liat , lihat
3173,liat2,lihat-lihat
3174,liatiii,lihat
3175,liatin,memperlihatkan
3176,liatin,perlihatkan
3177,liatin,lihat
3178,liatlah,lihatlah
3179,liatnya,lihatnya
3180,liatnyaaa,lihatnya
3181,liatt,lihat
3182,liattt,lihat
3183,liat'y,lihatnya
3184,light , terang
3185,lihaat,lihat
3186,lihaatttt,lihat
3187,liht,lihat
3188,linmas , perlindungan masyarakat
3189,lipetan,lipatan
3190,liptsk,lipstik
3191,litbang , penelitian dan pengembangan
3192,liwat,lewat
3193,liyat,lihat
3194,liyatnya,lihatnya
3195,lknt , laknat
3196,lkuin,lakukan
3197,llki,lelaki
3198,lluu,lu
3199,lluuccuu,lucu
3200,lma,lama
3201,lmyan , lumayan
3202,lmyn , lumayan
3203,lngkp , lengkap
3204,lngsing,langsing
3205,lngsng,langsung
3206,lngsung,langsung
3207,lo , anda
3208,lo , kamu
3209,loch , loh
3210,loe,lo
3211,loe,kamu
3212,loe , kamu
3213,loh,lho
3214,lohh,loh
3215,lohh,lo
3216,lohhh,loh
3217,lohhhh,loh
3218,loksyut,lokasi syuting
3219,lol , lucu
3220,lol , tertawa
3221,lola , lambat berfikir
3222,lom , belum
3223,loncatt,loncat
3224,loncattt,loncat
3225,loo,loh
3226,loo,lo
3227,looh,loh
3228,loohhh,loh
3229,looo,loh
3230,loooh,loh
3231,looohh,loh
3232,louph , cinta
3233,loupz , cinta
3234,low , kalau
3235,lowh , kamu
3236,lp , lupa
3237,lputan,liputan
3238,lsg,langsung
3239,lsm , lembaga swadaya masyarakat
3240,lt,lantai
3241,lu,kamu
3242,lu , anda
3243,lu , kamu
3244,luaarrr,luar
3245,luber ," langsung, umum, bebas, dan rahasia"
3246,luccu,lucu
3247,luchu,lucu
3248,luchu , lucu
3249,luchuw , lucu
3250,luco,lucu
3251,lucu2,lucu-lucu
3252,lucuk,lucu
3253,lucukkkkk,lucu
3254,lucunaaa,lucunya
3255,lucunyah,lucunya
3256,lucuu,lucu
3257,lucuukk,lucu
3258,lucuuu,lucu
3259,lucuuuk,lucu
3260,lucuuuu,lucu
3261,lucuuuuu,lucu
3262,lucuuuuuuuu,lucu
3263,lucuuuuuuuuuu,lucu
3264,lucux,lucunya
3265,luff , cinta
3266,luh,lu
3267,luhhh,lu
3268,lum , belum
3269,lupain,melupakan
3270,luph , cinta
3271,lurusin,meluruskan
3272,luthu , lucu
3273,luthuna,lucunya
3274,lutu,lucu
3275,lutuna,lucunya
3276,lutunaa,lucunya
3277,lutunaaa,lucunya
3278,luu,lu
3279,luucuuu,lucu
3280,luuuaar,luar
3281,luuuucuuu,lucu
3282,luv,love
3283,lw,lu
3284,lw,kalau
3285,lw,kamu
3286,lw , kamu
3287,lwn , lawan
3288,lwt,lewat
3289,lwt , lewat
3290,lyf , live
3291,lyt,lihat
3292,m,sama
3293,ma,sama
3294,ma , sama
3295,maaasss,mas
3296,maacih,terima kasih
3297,maacih , terima kasih
3298,maaciw , terima kasih
3299,maafin,memaafi
3300,maak,mak
3301,maap,maaf
3302,maapin,maaf
3303,maapin,maafi
3304,maau,mau
3305,maauuu,mau
3306,mabal , bolos
3307,mabes , markas besar
3308,macam2,macam-macam
3309,macem,macam
3310,macem , macam
3311,macem2,macam-macam
3312,macem-macem , macam-macam
3313,macet2an , macet-macetan
3314,macih , masih
3315,madesu , masa depan suram
3316,maem , makan
3317,maen,main
3318,maen , main
3319,maenya,mainnya
3320,magabut , makan gaji buta
3321,mahall,mahal
3322,mahatma , maju sehat bersama
3323,mahh,mah
3324,mahhhh,mah
3325,maho,manusia homo
3326,maho , homo
3327,mai,mau
3328,main2,main-main
3329,majority , mayoritas
3330,majuuu,maju
3331,mak , ibu
3332,mak jang , kaget
3333,makany,makanya
3334,makanyaa,makanya
3335,makasi,terima kasih
3336,makasih,terima kasih
3337,makasih , terima kasih
3338,make,memakai
3339,"maki""",maki-maki
3340,makkk,mak
3341,makny,maknya
3342,maksain,memaksakan
3343,maksain , memaksa
3344,maksd,maksud
3345,maksih,terima kasih
3346,maksir,menaksir
3347,maksutku,maksudku
3348,malah , bahkan
3349,malangg,malang
3350,malem,malam
3351,malem , malam
3352,males,malas
3353,malh,malah
3354,malingg,maling
3355,malsudnya,maksudnya
3356,malu2in,malu-malui
3357,malu2in , memalukan
3358,maluu,malu
3359,maluuu,malu
3360,maluuuu,malu
3361,mam , makan
3362,mama.nyy,mamanya
3363,mamas,mas
3364,mamax,mamanya
3365,mamer,memamerkan
3366,mampuussss,mampus
3367,mampuuu,mampu
3368,mamz , makan
3369,mana2 , mana-mana
3370,mancing2,memancing-mancing
3371,mancungin,memancungkan
3372,mandiin,memandikan
3373,maneh , kamu
3374,manen , panen
3375,mang,memang
3376,manggil , panggil
3377,manies , manis
3378,maniez , manis
3379,manisnyaaaa,manisnya
3380,manisss,manis
3381,manjain,memanjakan
3382,mansetan,bermanset
3383,mansyoallah,masyaallah
3384,manta,mantan
3385,mantaaap,mantap
3386,mantaap,mantap
3387,mantabb,mantab
3388,mantabs,mantab
3389,mantabss bagus ,
3390,mantaff,mantap
3391,mantanny,mantannya
3392,mantapp,mantap
3393,mantappp,mantap
3394,mantapppppp,mantap
3395,manteb,mantap
3396,manteep,mantap
3397,mantep,mantap
3398,mantep , mantap
3399,mantepp,mantap
3400,manteppp,mantap
3401,mantes,memantas
3402,manusiy,manusia
3403,mao,mau
3404,mao , mau
3405,marah2,marah-marah
3406,marah2an,marah-marahan
3407,maren2 , kemarin-kemarin
3408,marh,marah
3409,markus , makelar kasus
3410,martabakk,martabak
3411,masa2,masa-masa
3412,masaaaa,masa
3413,masalahh,masalah
3414,masama , sama - sama
3415,masi,masih
3416,"masing""",masing-masing
3417,masing2,masih
3418,masing2,masing-masing
3419,masing2 , masing-masing
3420,masio,masih
3421,maslah,masalah
3422,maso,masa
3423,massss,mas
3424,masukin,memasukkan
3425,masukin,memasuki
3426,masukin , masukkan
3427,masy , masyarakat
3428,masyaallahhh,masyaallah
3429,masyarakay,masyarakat
3430,matany,matanya
3431,mataq,mataku
3432,mata'y,matanya
3433,mateeeeeeeeeeee,mati
3434,mateeeek,mati
3435,"mati""an",mati-matian
3436,mati2 , mati-mati
3437,matii,mati
3438,mato,mata
3439,mattihhh,mati
3440,mauu,mau
3441,mauuu,mau
3442,mauuuu,mau
3443,mauuuuu,mau
3444,mauuuuuu,mau
3445,mauuuuuuu,mau
3446,maw,mau
3447,may,mau
3448,mayan,lumayan
3449,mayann,lumayan
3450,maybe , mungkin
3451,mb,mbak
3452,mb , mbak
3453,mba,mbak
3454,mba , mbak
3455,"mba""",mbak-mbak
3456,mbaa,mbak
3457,mbaaa,mbak
3458,mbaaahhh,mbah
3459,mbaaass,mbak
3460,mbaak,mbak
3461,mbaakk,mbak
3462,mbabibuta , ceroboh
3463,mbahas , membahas
3464,mbahh,mbah
3465,"mbak""",mbak-mbak
3466,mbak2,mbak-mbak
3467,mbaknyaahh,mbaknya
3468,mbakx,mbaknya
3469,mbanya,mbaknya
3470,mbaur , baur
3471,mbelain , belain
3472,mbg,mbak
3473,mbil,sambil
3474,mbk,mbak
3475,mblo,jomblo
3476,mblooo,jomblo
3477,mboizzz,bois
3478,mbual , bual
3479,mbual , membual
3480,mbuh,embuh
3481,mcm,macam
3482,mcm , macam
3483,mdh , mudah
3484,"mdh""",mudah-mudah
3485,mdh2an,mudah-mudahan
3486,mdh2an , mudah-mudahan
3487,mdh2n,mudah-mudahan
3488,med,selamat
3489,medsos , media sosial
3490,megang,memegang
3491,mehoonggggg,mahal
3492,meker,mikir
3493,melahirin,melahirkan
3494,melakukn,melakukan
3495,melayakni , melayani
3496,melebihin,melebihi
3497,melihara,memelihara
3498,melu , ikut
